holder_id,nome,tipo,depositadas,concedidas,A_depositadas,A_concedidas,B_depositadas,B_concedidas,C_depositadas,C_concedidas,D_depositadas,D_concedidas,E_depositadas,E_concedidas,F_depositadas,F_concedidas,G_depositadas,G_concedidas,H_depositadas,H_concedidas,num_colaboradores,is_foreign,cluster
32,IFP ENERGIES NOUVELLES,Company,300,191,0,0,118,76,194,128,3,3,20,16,19,16,21,10,1,0,39,1,0
59,SUMITOMO CHEMICAL COMPANY LIMITED,Company,307,174,215,142,13,5,131,90,1,0,0,0,1,0,2,0,0,0,18,1,0
60,DOW AGROSCIENCES LLC,Company,512,278,253,196,6,5,173,121,0,0,0,0,0,0,5,4,0,0,28,1,0
61,NIPPON STEEL SUMITOMO METAL CORPORATION,Company,366,235,0,0,146,94,197,163,0,0,7,7,44,33,25,17,20,19,25,1,0
79,CNH INDUSTRIAL AMERICA LLC,Company,845,483,609,338,149,103,0,0,0,0,40,24,82,64,56,27,7,4,18,1,0
113,GENERAL ELECTRIC COMPANY,Company,586,334,17,9,108,86,42,24,0,0,37,17,182,128,106,65,145,100,72,1,0
135,UNIVERSIDADE FEDERAL DE UBERLÂNDIA,Institution,304,109,107,39,62,27,88,30,0,0,7,0,8,5,99,36,31,17,63,0,0
136,FUNDAÇÃO DE AMPARO A PESQUISA DO ESTADO DE MINAS GERAIS,Institution,486,200,198,90,58,37,154,75,2,2,4,4,7,5,72,34,24,14,115,0,0
192,VALE SA,Company,214,137,7,4,103,67,47,40,1,1,20,15,19,14,50,27,6,3,30,0,0
206,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,Institution,439,223,110,64,76,57,139,84,8,6,5,3,19,15,55,35,16,12,110,0,0
221,UNIVERSIDADE ESTADUAL DE CAMPINAS,Institution,950,549,307,198,132,94,272,181,9,4,10,7,19,12,197,141,72,45,202,0,0
222,UNIVERSIDADE DE SÃO PAULO,Institution,1036,615,408,293,155,110,259,176,11,4,12,8,28,21,174,123,40,30,174,0,0
231,UNIVERSIDADE FEDERAL DE MINAS GERAIS,Institution,1041,467,456,228,146,89,414,196,11,8,8,6,21,12,203,89,23,6,249,0,0
245,CANON KABUSHIKI KAISHA,Company,386,218,8,4,49,31,10,7,0,0,0,0,10,6,169,105,163,85,65,1,0
259,SIEMENS AKTIENGESELLSCHAFT,Company,616,419,2,2,49,38,14,7,5,5,11,10,51,40,113,69,373,295,49,1,0
276,ETHICON ENDO,Company,428,376,365,352,6,5,2,2,0,0,0,0,4,3,4,4,8,8,81,1,0
284,UNIVERSIDADE ESTADUAL PAULISTA JULIO DE MESQUITA FILHO,Institution,432,129,159,58,58,17,117,45,2,0,3,1,11,2,69,15,20,8,76,0,0
326,SONY CORPORATION,Company,499,216,5,2,4,1,14,2,0,0,0,0,7,7,133,61,343,171,89,1,0
413,UNIVERSIDADE FEDERAL DE VIÇOSA,Institution,257,92,126,48,20,14,98,38,3,1,1,1,4,3,39,6,2,1,75,0,0
462,UNIVERSIDADE FEDERAL DO PARANÁ,Institution,381,136,93,40,43,21,123,65,4,3,8,5,12,8,56,36,10,5,49,0,0
588,APPLE INC,Company,463,273,1,1,1,1,1,1,0,0,1,0,0,0,86,70,300,197,9,1,0
606,ROHM AND HAAS COMPANY,Company,754,436,93,47,111,64,530,341,14,9,4,3,2,2,13,8,11,6,141,1,0
