holder_id,nome,tipo,depositadas,concedidas,A_depositadas,A_concedidas,B_depositadas,B_concedidas,C_depositadas,C_concedidas,D_depositadas,D_concedidas,E_depositadas,E_concedidas,F_depositadas,F_concedidas,G_depositadas,G_concedidas,H_depositadas,H_concedidas,num_colaboradores,is_foreign,cluster
78,GUSTAVO HENRIQUE BERNARDE,Person,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
95,FRANCIS RUMENOS PIEDADE,Person,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
104,IVO CECCHIN,Person,4,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
133,WADI NICOLA MANSOUR,Person,11,8,0,0,1,1,0,0,0,0,0,0,1,1,0,0,7,6,0,0,2
151,VICENTE BORGES DA TRINDADE,Person,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
205,ANTONIO LUIZ MARCONDES CYRINEU,Person,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
223,ARMANDO AFFONSO JÚNIOR,Person,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2
235,GIOVANI GEREMIA,Person,3,2,0,0,2,2,0,0,0,0,1,1,0,0,0,0,0,0,5,0,2
236,MARIELA HAIDÉE ARANDA,Person,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
237,MIGUEL IGNACIO SERRANO,Person,3,2,0,0,2,2,0,0,0,0,1,1,0,0,0,0,0,0,5,0,2
243,ANDRÉ GUSTAVO SATO,Person,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,2
283,OTALÍCIO PACHECO DA CUNHA,Person,11,7,4,2,0,0,0,0,0,0,2,2,7,5,0,0,0,0,1,0,2
318,APARECIDO RIBEIRO DOS SANTOS,Person,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2
324,DANTE SANTE ANDREA MARCHIORI,Person,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
345,VITOR HUGO GAUDENCIO JOHNSON,Person,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
